0	0	0
0.01	214	218
0.02	539	209
0.03	539	209
0.04	218	518
0.05	218	518
0.06	229	215
0.07	229	215
0.08	215	226
0.09	208	620
0.10	556	223
0.11	216	220
0.12	530	220
0.13	530	221
0.14	222	221
0.15	209	225
0.16	566	219
0.17	217	219
0.18	209	219
0.19	209	221
0.20	568	586
0.21	217	220
0.22	217	221
0.23	566	220
0.24	217	554
0.25	208	554
0.26	208	213
0.27	229	212
0.28	229	600
0.29	216	211
0.30	216	214
0.31	555	214
0.32	217	584
0.33	209	225
0.34	209	215
0.35	562	217
0.36	216	594
0.37	218	212
0.38	216	212
0.39	216	610
0.40	550	221
0.41	219	218
0.42	217	218
0.43	527	228
0.44	219	228
0.45	216	581
0.46	217	224
0.47	217	225
0.48	216	210
0.49	216	224
0.50	523	224
0.51	223	616
0.52	216	220
0.53	216	219
0.54	590	220
0.55	590	220
0.56	220	579
0.57	216	229
0.58	218	211
0.59	599	211
0.60	218	611
0.61	224	215
0.62	216	212
0.63	216	212
0.64	559	583
0.65	208	213
0.66	216	220
0.67	623	220
0.68	217	604
0.69	217	229
0.70	217	221
0.71	217	213
0.72	613	213
0.73	209	551
0.74	536	227
0.75	220	219
0.76	216	210
0.77	216	596
0.78	216	216
0.79	611	219
0.80	216	220
0.81	217	220
0.82	555	597
0.83	216	225
0.84	216	220
0.85	217	218
0.86	618	218
0.87	618	604
0.88	217	223
0.89	215	218
0.90	564	218
0.91	215	220
0.92	216	220
0.93	216	629
0.94	559	220
0.95	223	218
0.96	216	218
0.97	216	588
0.98	545	225
0.99	216	218
1.00	226	218
1.01	214	219
1.02	616	606
1.03	216	223
1.04	216	223
1.05	562	211
1.06	562	211
1.07	214	614
1.08	217	213
1.09	224	210
1.10	539	620
1.11	216	212
1.12	216	212
1.13	216	219
1.14	612	219
1.15	215	634
1.16	217	218
1.17	217	218
1.18	214	219
1.19	214	219
1.19	207	587
1.20	606	222
1.21	606	219
1.22	215	219
1.23	215	218
1.24	215	218
1.25	574	628
1.26	216	219
1.27	216	219
